id,name,incumbent,party_leader,pm,mpp,premier,cabinet
571,Kevin Modeste
572,Kevin Norng
573,Rondo Thomas
574,Carol Hughes
575,Sarah Hutchinson
576,Will Morin
577,Donald Milton Polmateer
578,Brent St. Denis
579,Ian West
580,Ben Cowie
581,Jamilé Ghaddar
582,Gordon Guyatt
583,David Januczkowski
584,Russ Powers
585,David Sweet
586,Patrick Brown
587,Peter Bursztyn
588,Aileen Carroll
589,Erich Jacoby-Hawkins
590,Roger Carter
591,Marilyn Churley
592,Peter Conroy
593,Jim Harris
594,Jim Love
595,Maria Minna
596,Ernst Braendli
597,Frank Chilelli
598,Gurbax S. Malhi
599,Cesar Martello
600,John Sprovieri
601,Ian Raymond Chiocchio
602,Ruby Dhalla
603,Sam Hundal
604,Anna Mather
605,Upali Jinadasa Wannaku Rallage
606,Colleen Beaumier
607,Bal Gosal
608,Jaipaul Massey-Singh
609,Jagtar Singh Shergill
610,Lynn Bowering
611,Adam King
612,Phil McColeman
613,Lloyd St. Amand
614,John C. Turmel
615,John H. Wubs
616,Rick Goldring
617,David Laird
618,Paddy Torsney
619,Mike Wallace
620,Gary Goodyear
621,David M. Pelly
622,Janko Peric
623,Donna Reid
624,Gareth White
625,Tasha Bridgen
626,Jake Cole
627,George Kolaczynski
628,Isabel Metcalfe
629,Gordon O'Connor
630,Tracy Parsons
631,Ken Bell
632,Jim Comiskey
633,Kathleen Kevany
634,Dave Van Kesteren
635,Virginia Ervin
636,Doug Moffatt
637,Bev Oda
638,Bruce Rogers
639,Henry Zekveld
640,Miguel Figueroa
641,Wendy Forrest
642,Mark O'Brien
643,Gord Perks
644,Theresa Rodrigues
645,Mario Silva
646,Sarah Thompson
647,Wayne Clements
648,Richard Alan Hennick
649,Eugene McDermott
650,Yasmin Ratansi
651,Paul Barnes
652,John Carmichael
653,Soumen Deb
654,John Godfrey
655,Daphne So
656,David Thomas
657,Ted Alexander
658,Chris Marquis
659,Garry Moore
660,David Tilson
661,Peter Coy
662,Patrick Metzger
663,Maurganne Mooney
664,John Brian Steele
665,Joe Volpe
666,Will Arlow
667,Phill Borm
668,Crispin Colvin
669,Ken DeVries
670,Jonathan Martyn
671,Tim McCallum
672,Joe Preston
673,Bob Cruise
674,James McVeity
675,Taras Natyshak
676,Jeff Watson
677,Susan Whelan
678,Cynthia Cameron
679,Norman Dundas
680,Axel Kuhn
681,France Tremblay
682,John Vanderheyden
683,Borys Wrzesnewskyj
684,John Capobianco
685,Cathy Holliday
686,Michael Ignatieff
687,Liam McHugh-Russell
688,Janice Murray
689,Philip Ridge
690,Alexander T. Bussmann
691,Roy Cullen
692,Anna Di Carlo
693,George Jan Havlovic
694,Amanjit Singh Khroad
695,Ali Naqvi
696,George Szebik
697,René Berthiaume
698,Jo-Ann Fennessey
699,Bonnie Jean-Louis
700,Pierre Lemieux
701,Verona Jackson
702,Shane Jolley
703,Jill McIllwraith
704,Larry Miller
705,Phil Allt
706,Brent Barr
707,Brenda Chamberlain
708,Manuel Couto
709,Peter Ellis
710,Scott Gilbert
711,Mike Nagy
712,Steven Elgersma
713,Diane Finley
714,Valya Roberts
715,Bob Speller
716,Carolyn Van Nort
717,Barry Devolin
718,Andy Harjula
719,Anne MacDermid
720,Greg Walling
721,Gary Carr
722,Kyle Grice
723,Anwar Naqvi
724,Garth Turner
725,David Christopherson
726,Tony Des Lauriers
727,Eliot Lewis Hill
728,John Livingstone
729,Javid Mirza
730,Bob Mann
731,Wayne Marston
732,Jo Pavlov
733,Frank Rukavina
734,Tony Valeri
735,Chris Charlton
736,Stephen Downey
737,Don Graves
738,Bill Kelly
739,Paul Lane
740,Susan Wadsworth
741,Dave Joslin
742,Ben Lobb
743,Grant Robertson
744,Victoria Serda
745,Paul Steckle
746,Dennis Valenta
747,Susan Barclay
748,Bill Brown
749,Roger Valley
750,Dave Vasey
751,Lou Grimshaw
