id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
175,Michel Létourneau,Beauport--Limoilou
176,Claude Moreau,Beauport--Limoilou
177,Guy André,Berthier--Maskinongé
178,Ruth Ellen Brosseau,Berthier--Maskinongé
179,Francine Gaudet,Berthier--Maskinongé
180,Marie-Claude Godue,Berthier--Maskinongé
181,Martin Jubinville,Berthier--Maskinongé
182,Léonie Matteau,Berthier--Maskinongé
183,David Azoulay,Bourassa
184,Tiziana Centazzo,Bourassa
185,Denis Coderre,Bourassa
186,Julie Demers,Bourassa
187,Daniel Mailhot,Bourassa
188,Geneviève Royer,Bourassa
189,Christelle Bogosta,Brome--Missisquoi
190,Pierre Jacob,Brome--Missisquoi
191,Benoit Lambert,Brome--Missisquoi
192,Nolan LeBlanc-Bauerle,Brome--Missisquoi
193,Denis Paradis,Brome--Missisquoi
194,Maurice Brossard,Brossard--La Prairie
195,Normand Chouinard,Brossard--La Prairie
196,Marcel Lussier,Brossard--La Prairie
197,Hoang Mai,Brossard--La Prairie
198,Alexandra Mendès,Brossard--La Prairie
199,Kevin Murphy,Brossard--La Prairie
200,Bernard DeLorme,Chambly--Borduas
201,Matthew Dubé,Chambly--Borduas
202,Nathalie Ferland Drolet,Chambly--Borduas
203,Nicholas Lescarbeau,Chambly--Borduas
204,Yves Lessard,Chambly--Borduas
205,Jean-François Mercier,Chambly--Borduas
206,Simon Cormier,Charlesbourg--Haute-Saint-Charles
207,Anne-Marie Day,Charlesbourg--Haute-Saint-Charles
208,Martine Gaudreault,Charlesbourg--Haute-Saint-Charles
209,Félix Grenier,Charlesbourg--Haute-Saint-Charles
210,Daniel Petit,Charlesbourg--Haute-Saint-Charles
211,Simon Verret,Charlesbourg--Haute-Saint-Charles
212,François Bédard,Montmorency--Charlevoix--Haute-Côte-Nord
213,Michel-Eric Castonguay,Montmorency--Charlevoix--Haute-Côte-Nord
214,Robert Gauthier,Montmorency--Charlevoix--Haute-Côte-Nord
215,Michel Guimond,Montmorency--Charlevoix--Haute-Côte-Nord
216,Jonathan Tremblay,Montmorency--Charlevoix--Haute-Côte-Nord
217,Sylvain Chicoine,Châteauguay--Saint-Constant
218,Carole Freeman,Châteauguay--Saint-Constant
219,Clara Kwan,Châteauguay--Saint-Constant
220,Linda Schwey,Châteauguay--Saint-Constant
221,Linda Sullivan,Châteauguay--Saint-Constant
222,André Turcôt,Châteauguay--Saint-Constant
223,Charles-Olivier Bolduc-Tremblay,Chicoutimi--Le Fjord
224,Robert Bouchard,Chicoutimi--Le Fjord
225,Marielle Couture,Chicoutimi--Le Fjord
226,Dany Morin,Chicoutimi--Le Fjord
227,Carol Néron,Chicoutimi--Le Fjord
228,Marc Pettersen,Chicoutimi--Le Fjord
229,France Bonsant,Compton--Stanstead
230,Gary Caldwell,Compton--Stanstead
231,Sandrine Gressard Bélanger,Compton--Stanstead
232,William Hogg,Compton--Stanstead
233,Jean Rousseau,Compton--Stanstead
234,Normand W. Bernier,Drummond
235,François Choquette,Drummond
236,Pierre Côté,Drummond
237,Robin Fortin,Drummond
238,Roger Pomerleau,Drummond
239,Régent Bastien,Gaspésie--Îles-de-la-Madeleine
240,Daniel Côté,Gaspésie--Îles-de-la-Madeleine
241,Jules Duguay,Gaspésie--Îles-de-la-Madeleine
242,Julien Leblanc,Gaspésie--Îles-de-la-Madeleine
243,Philip Toone,Gaspésie--Îles-de-la-Madeleine
244,Françoise Boivin,Gatineau
245,Jennifer Gearey,Gatineau
246,Steve MacKinnon,Gatineau
247,Jonathan Meijer,Gatineau
248,Richard Nadeau,Gatineau
249,Marjolaine Boutin-Sweet,Hochelaga
250,Marianne Breton Fontaine,Hochelaga
251,Audrey Castonguay,Hochelaga
252,Christine Dandenault,Hochelaga
253,Yaneisy Delgado Dihigo,Hochelaga
254,Daniel Paillé,Hochelaga
255,Hugo Samson Veillette,Hochelaga
256,Gilbert Thibodeau,Hochelaga
257,Paulina Ayala,Honoré-Mercier
258,Jean-Paul Bédard,Honoré-Mercier
259,Gaëtan Bérard,Honoré-Mercier
260,Valery Chevrefils-Latulippe,Honoré-Mercier
261,Gérard Labelle,Honoré-Mercier
262,Martin Laroche,Honoré-Mercier
263,Pablo Rodriguez,Honoré-Mercier
264,Nancy Brassard-Fortin,Hull--Aylmer
265,Roger Fleury,Hull--Aylmer
266,Dino Lemay,Hull--Aylmer
267,Marcel Proulx,Hull--Aylmer
268,Nycole Turmel,Hull--Aylmer
269,Tyrone Benskin,Jeanne-Le Ber
270,Mark Bruneau,Jeanne-Le Ber
271,Pierre Lafontaine,Jeanne-Le Ber
272,Richard Noël,Jeanne-Le Ber
273,Thierry St-Cyr,Jeanne-Le Ber
274,Eileen Studd,Jeanne-Le Ber
275,François Boucher,Joliette
276,Annie Durette,Joliette
277,Michel Morand,Joliette
278,Pierre A. Paquette,Joliette
279,Francine Raynault,Joliette
280,France Bergeron,Jonquière--Alma
281,Jean-Pierre Blackburn,Jonquière--Alma
282,Pierre Forest,Jonquière--Alma
283,Claude Patry,Jonquière--Alma
284,Claude Ringuette,Jonquière--Alma
285,Alain Ackad,Lac-Saint-Louis
286,Francis Scarpaleggia,Lac-Saint-Louis
287,Larry Smith,Lac-Saint-Louis
288,Éric Taillefer,Lac-Saint-Louis
289,Bruno Tremblay,Lac-Saint-Louis
290,Ginette Beaudry,La Pointe-de-l'Île
291,Claude Brunelle,La Pointe-de-l'Île
292,David J. Cox,La Pointe-de-l'Île
293,Mathieu Drolet,La Pointe-de-l'Île
294,Olivier L. Coulombe,La Pointe-de-l'Île
295,Ève Péclet,La Pointe-de-l'Île
296,Lorraine Banville,LaSalle--Émard
297,Guillaume Berger-Richard,LaSalle--Émard
298,Carl Dubois,LaSalle--Émard
299,Hélène LeBlanc,LaSalle--Émard
300,Yves Le Seigle,LaSalle--Émard
301,Chang-Tao Jimmy Yu,LaSalle--Émard
302,Lise Zarac,LaSalle--Émard
303,François Beauchamp,Laurentides--Labelle
304,Johanne Deschamps,Laurentides--Labelle
305,Guy Joncas,Laurentides--Labelle
306,Jean-Marc Lacoste,Laurentides--Labelle
307,Marc-André Morin,Laurentides--Labelle
308,Mikaël St-Louis,Laurentides--Labelle
309,Olivier Adam,Laurier--Sainte-Marie
310,Philippe Allard,Laurier--Sainte-Marie
311,Sylvain Archambault,Laurier--Sainte-Marie
312,Gilles Duceppe,Laurier--Sainte-Marie
313,François Yo Gourd,Laurier--Sainte-Marie
314,Serge Lachapelle,Laurier--Sainte-Marie
315,Charles K. Langford,Laurier--Sainte-Marie
316,Hélène Laverdière,Laurier--Sainte-Marie
317,Dimitri Mourkes,Laurier--Sainte-Marie
