Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
12010	Sydney--Victoria	Sydney--Victoria	Conservative Party of Canada	Parti conservateur du Canada	Chiasson	John Douglas		10-Sep-15	11:00:00
12010	Sydney--Victoria	Sydney--Victoria	New Democratic Party	Nouveau Parti démocratique	Dutt	Monika		11-Sep-15	8:03:00
12010	Sydney--Victoria	Sydney--Victoria	Liberal Party of Canada	Parti libéral du Canada	Eyking	Mark		16-Sep-15	6:17:00
12010	Sydney--Victoria	Sydney--Victoria	Libertarian Party of Canada	Parti Libertarien du Canada	Hiscock	Wayne James		21-Sep-15	4:44:00
12010	Sydney--Victoria	Sydney--Victoria	Green Party of Canada	Le Parti Vert du Canada	MacKinnon	Adrianna		26-Aug-15	3:00:00
12011	West Nova	Nova-Ouest	New Democratic Party	Nouveau Parti démocratique	Foster	Greg		05-Sep-15	10:15:00
12011	West Nova	Nova-Ouest	Liberal Party of Canada	Parti libéral du Canada	Fraser	Colin		18-Aug-15	2:12:00
12011	West Nova	Nova-Ouest	Conservative Party of Canada	Parti conservateur du Canada	LeBlanc	Arnold		20-Aug-15	3:00:00
12011	West Nova	Nova-Ouest	Green Party of Canada	Le Parti Vert du Canada	Walton	Clark		30-Aug-15	12:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	Green Party of Canada	Le Parti Vert du Canada	Breau	Dominique		19-Aug-15	4:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	Liberal Party of Canada	Parti libéral du Canada	Cormier	Serge		24-Aug-15	11:45:00
13001	Acadie--Bathurst	Acadie--Bathurst	Conservative Party of Canada	Parti conservateur du Canada	Girouard-Riordon	Riba		25-Sep-15	2:05:00
13001	Acadie--Bathurst	Acadie--Bathurst	New Democratic Party	Nouveau Parti démocratique	Godin	Jason		20-Aug-15	11:25:00
13002	Beauséjour	Beauséjour	Conservative Party of Canada	Parti conservateur du Canada	Bastarache	Ann		23-Sep-15	10:50:00
13002	Beauséjour	Beauséjour	New Democratic Party	Nouveau Parti démocratique	Boudreau	Hélène		05-Sep-15	5:22:00
13002	Beauséjour	Beauséjour	Green Party of Canada	Le Parti Vert du Canada	King	Kevin		29-Aug-15	10:30:00
13002	Beauséjour	Beauséjour	Liberal Party of Canada	Parti libéral du Canada	LeBlanc	Dominic		12-Aug-15	6:00:00
13003	Fredericton	Fredericton	Conservative Party of Canada	Parti conservateur du Canada	Ashfield	Keith		21-Aug-15	12:00:00
13003	Fredericton	Fredericton	Green Party of Canada	Le Parti Vert du Canada	Babineau	Mary Lou		13-Aug-15	6:51:00
13003	Fredericton	Fredericton	Liberal Party of Canada	Parti libéral du Canada	DECourcey	Matt		25-Aug-15	5:00:00
13003	Fredericton	Fredericton	New Democratic Party	Nouveau Parti démocratique	Scott-Levesque	Sharon		08-Sep-15	3:30:00
13004	Fundy Royal	Fundy Royal	Independent	Indépendant	Amos	David Raymond		28-Sep-15	3:40:00
13004	Fundy Royal	Fundy Royal	Green Party of Canada	Le Parti Vert du Canada	Coburn	Stephanie		14-Aug-15	1:25:00
13004	Fundy Royal	Fundy Royal	Liberal Party of Canada	Parti libéral du Canada	Lockhart	Alaina		19-Aug-15	1:30:00
13004	Fundy Royal	Fundy Royal	New Democratic Party	Nouveau Parti démocratique	McKenzie	Jennifer		18-Aug-15	11:00:00
13004	Fundy Royal	Fundy Royal	Conservative Party of Canada	Parti conservateur du Canada	Moore	Rob		17-Aug-15	4:36:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Liberal Party of Canada	Parti libéral du Canada	Arseneault	René		26-Aug-15	11:42:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Green Party of Canada	Le Parti Vert du Canada	Aubin	Françoise		25-Sep-15	6:41:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	New Democratic Party	Nouveau Parti démocratique	L'Italien	Rosaire		06-Sep-15	11:05:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Conservative Party of Canada	Parti conservateur du Canada	Valcourt	Bernard		26-Aug-15	12:36:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	Green Party of Canada	Le Parti Vert du Canada	Clark	Matthew Ian		14-Sep-15	4:27:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	New Democratic Party	Nouveau Parti démocratique	Colford	Patrick		03-Sep-15	5:21:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	Liberal Party of Canada	Parti libéral du Canada	Finnigan	Pat		28-Aug-15	12:22:00
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	Conservative Party of Canada	Parti conservateur du Canada	O'Neill-Gordon	Tilly		15-Aug-15	2:20:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Conservative Party of Canada	Parti conservateur du Canada	Goguen	Robert		20-Aug-15	4:03:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	New Democratic Party	Nouveau Parti démocratique	LeBlanc	Luc		27-Aug-15	12:10:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Green Party of Canada	Le Parti Vert du Canada	Melanson	Luc		13-Aug-15	2:15:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Liberal Party of Canada	Parti libéral du Canada	Petitpas Taylor	Ginette		20-Aug-15	12:25:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	New Democratic Party	Nouveau Parti démocratique	Graham	Andrew		12-Sep-15	10:00:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Liberal Party of Canada	Parti libéral du Canada	Ludwig	Karen		01-Sep-15	9:15:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Green Party of Canada	Le Parti Vert du Canada	MacIntosh	Gayla		22-Aug-15	1:45:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Williamson	John		21-Aug-15	11:45:00
13009	Saint John--Rothesay	Saint John--Rothesay	New Democratic Party	Nouveau Parti démocratique	Griffin	AJ		04-Sep-15	11:10:00
13009	Saint John--Rothesay	Saint John--Rothesay	Liberal Party of Canada	Parti libéral du Canada	Long	Wayne		03-Sep-15	2:45:00
13009	Saint John--Rothesay	Saint John--Rothesay	Green Party of Canada	Le Parti Vert du Canada	Murphy	Sharon		16-Sep-15	3:30:00
13009	Saint John--Rothesay	Saint John--Rothesay	Conservative Party of Canada	Parti conservateur du Canada	Weston	Rodney		03-Sep-15	4:05:00
